"Category","Annual Mean","5-yr smooth"
1901,14.17,14.2
1902,14.16,14.08
1903,13.85,13.97
1904,13.7,13.87
1905,14.07,13.8
1906,13.9,13.76
1907,13.86,13.75
1908,13.84,13.78
1909,13.65,13.83
1910,13.29,13.9
1911,13.89,13.97
1912,14.31,14.04
1913,14.36,14.09
1914,14.32,14.14
1915,14.57,14.17
1916,13.54,14.19
1917,13.94,14.18
1918,14.49,14.17
1919,14.5,14.15
1920,13.87,14.14
1921,13.5,14.15
1922,14.51,14.21
1923,14.56,14.32
1924,14.51,14.46
1925,14.59,14.6
1926,14.81,14.73
1927,14.8,14.82
1928,14.8,14.84
1929,14.75,14.81
1930,14.6,14.74
1931,14.66,14.66
1932,14.63,14.58
1933,14.53,14.53
1934,14.56,14.52
1935,14.58,14.57
1936,14.65,14.66
1937,15.08,14.82
1938,14.87,15.04
1939,15.23,15.31
1940,15.52,15.6
1941,16.02,15.84
1942,15.6,16
1943,16.31,16.02
1944,15.96,15.87
1945,15.69,15.58
1946,15.01,15.2
1947,14.85,14.8
1948,14.5,14.42
1949,13.97,14.12
1950,13.48,13.91
1951,14.12,13.79
1952,13.85,13.73
1953,14.28,13.74
1954,13.66,13.8
1955,13.68,13.89
1956,13.45,14
1957,14.33,14.12
1958,14.29,14.23
1959,14.25,14.32
1960,14.33,14.38
1961,14.61,14.42
1962,14.54,14.44
1963,14.7,14.45
1964,14.16,14.45
1965,14.83,14.46
1966,14.33,14.47
1967,13.93,14.47
1968,14.11,14.46
1969,15.03,14.43
1970,14.25,14.37
1971,14.05,14.29
1972,14.98,14.22
1973,14.33,14.16
1974,13.67,14.14
1975,13.78,14.17
1976,14.44,14.27
1977,14.59,14.39
1978,14.42,14.53
1979,14.72,14.64
1980,14.8,14.71
1981,14.3,14.72
1982,14.67,14.69
1983,15.43,14.62
1984,14.3,14.56
1985,14.04,14.5
1986,14.23,14.48
1987,15.19,14.5
1988,14.57,14.53
1989,14.3,14.59
1990,14.55,14.65
1991,14.62,14.72
1992,15.17,14.79
1993,14.9,14.85
1994,14.82,14.9
1995,14.86,14.93
1996,14.22,14.94
1997,15.38,14.93
1998,15.7,14.91
1999,14.56,14.88
2000,14.69,14.85
2001,14.52,14.82
2002,14.85,14.8
2003,14.84,14.78
2004,14.93,14.78
2005,14.87,14.78
2006,14.94,14.78
2007,14.39,14.79
2008,14.68,14.8
2009,14.99,14.81
2010,15.02,14.82
2011,14.74,14.85
2012,14.99,14.89
2013,14.53,14.94
2014,14.89,14.98
2015,15.46,15.02
2016,15.35,15.05
2017,15.06,15.06
2018,14.65,15.04
2019,14.84,15
2020,15,14.94
2021,14.97,14.88
2022,14.84,14.81